for i in `seq 10000 10000 1000000`; do \
	for j in 1 2 4 8 16 32 64; do \
		for i in {1..10000}; do echo $RANDOM; \
				./sort $j $i; \
			done \
		done \
	done

0 0.000409
0 0.000475
0 0.000393
0 0.000710
0 0.000999
0 0.001624
0 0.002208
0 0.000174
0 0.000212
0 0.000257
0 0.004738
0 0.000709
0 0.001384
0 0.001842
0 0.000150
0 0.000162
0 0.000194
0 0.000336
0 0.000417
0 0.000779
0 0.001474
0 0.000118
0 0.000138
0 0.000185
0 0.000273
0 0.000423
0 0.000701
0 0.001711
0 0.000114
0 0.000120
0 0.000167
0 0.000277
0 0.000417
0 0.000788
0 0.001346
0 0.000132
0 0.000146
0 0.000188
0 0.000245
0 0.000411
0 0.000731
0 0.001402
0 0.000423
0 0.000185
0 0.000202
0 0.000285
0 0.000460
0 0.000780
0 0.001439
0 0.000115
0 0.000200
0 0.000207
0 0.000285
0 0.000437
0 0.000773
0 0.001356
0 0.000129
0 0.000152
0 0.000177
0 0.000295
0 0.000496
0 0.000803
0 0.001455
0 0.000128
0 0.000157
0 0.000192
0 0.000386
0 0.000473
0 0.000835
0 0.001651
0 0.000122
0 0.000119
0 0.000177
0 0.000258
0 0.000444
0 0.000786
0 0.001345
0 0.000119
0 0.000205
0 0.000238
0 0.000301
0 0.000530
0 0.000739
0 0.001502
0 0.000109
0 0.000197
0 0.000229
0 0.000358
0 0.000555
0 0.000948
0 0.001487
0 0.000109
0 0.000166
0 0.000239
0 0.000339
0 0.000942
0 0.000886
0 0.001472
0 0.000119
0 0.000152
0 0.000207
0 0.000296
0 0.000540
0 0.000911
0 0.001622
0 0.000146
0 0.000201
0 0.000243
0 0.000305
0 0.000470
0 0.001338
0 0.001423
0 0.000116
0 0.000138
0 0.000195
0 0.000266
0 0.000521
0 0.000764
0 0.001384
0 0.000123
0 0.000158
0 0.000184
0 0.000291
0 0.000498
0 0.001048
0 0.001457
0 0.000108
0 0.000216
0 0.002786
0 0.000291
0 0.000472
